id_timestamp,id_index,sensor_index,sensor_id,timestamp_since_poweron,real_time_clock,temperature,pressure,relative_humidity,resistance_gassensor,heater_profile_step_index,scanning_enabled,scanning_cycle_index,label_tag,error_code
2026_02_19_08_29,0,0,1724206365,5500,1771489795,25.38139,996.021851,46.705666,15094.339844,0,1,1,0,0
2026_02_19_08_29,1,1,1724192798,5505,1771489795,25.568531,996.254761,46.286995,10126.582031,0,1,1,0,0
2026_02_19_08_29,2,2,1724204062,5509,1771489795,25.561659,996.258789,46.099087,11095.700195,0,1,1,0,0
2026_02_19_08_29,3,3,1724221471,5514,1771489795,25.486506,996.07959,45.770355,11539.848633,0,1,1,0,0
2026_02_19_08_29,4,4,1724209694,5518,1771489795,25.549452,996.051636,44.604366,14295.287109,0,1,1,0,0
2026_02_19_08_29,5,5,1724219422,5523,1771489795,25.575344,995.892761,44.938732,9598.080078,0,1,1,0,0
2026_02_19_08_29,6,6,1724206621,5527,1771489795,25.504053,996.414734,44.478767,10869.56543,0,1,1,0,0
2026_02_19_08_29,7,7,1724199965,5531,1771489795,25.4536,996.267273,44.717804,11602.610352,0,1,1,0,0
2026_02_19_08_29,8,0,1724206365,5780,1771489795,25.301594,996.101868,46.614998,308805.78125,1,1,1,0,0
2026_02_19_08_29,9,1,1724192798,5784,1771489795,25.486568,996.305603,46.216072,218057.921875,1,1,1,0,0
2026_02_19_08_29,10,2,1724204062,5789,1771489795,25.516796,996.305237,46.002552,262698.8125,1,1,1,0,0
2026_02_19_08_29,11,3,1724221471,5793,1771489795,25.471529,996.149658,45.695518,196356.65625,1,1,1,0,0
2026_02_19_08_29,12,4,1724209694,5798,1771489795,25.524492,996.115601,44.522766,295185.9375,1,1,1,0,0
2026_02_19_08_29,13,5,1724219422,5802,1771489795,25.575344,995.960815,44.854008,177901.328125,1,1,1,0,0
2026_02_19_08_29,14,6,1724206621,5807,1771489795,25.529358,996.473938,44.40266,202291.578125,1,1,1,0,0
2026_02_19_08_29,15,7,1724199965,5811,1771489795,25.438484,996.313354,44.629677,228724.59375,1,1,1,0,0
2026_02_19_08_29,16,0,1724206365,7180,1771489796,25.590853,996.092163,45.712322,292404.34375,2,1,1,0,0
2026_02_19_08_29,17,1,1724192798,7185,1771489796,25.859125,996.325745,45.390839,205457.46875,2,1,1,0,0
2026_02_19_08_29,18,2,1724204062,7189,1771489796,25.903128,996.282104,45.049442,237476.8125,2,1,1,0,0
2026_02_19_08_29,19,3,1724221471,7193,1771489796,25.933308,996.13739,44.773186,198642.09375,2,1,1,0,0
2026_02_19_08_29,20,4,1724209694,7198,1771489796,25.986237,996.097717,43.586887,280624.84375,2,1,1,0,0
2026_02_19_08_29,21,5,1724219422,7202,1771489796,26.035044,995.936279,43.894112,161412.359375,2,1,1,0,0
2026_02_19_08_29,22,6,1724206621,7207,1771489796,26.010157,996.455811,43.512154,204840.96875,2,1,1,0,0
2026_02_19_08_29,23,7,1724199965,7211,1771489796,25.917145,996.34137,43.725914,213288.890625,2,1,1,0,0
2026_02_19_08_29,24,6,1724206621,11266,1771489800,26.683279,996.506226,40.312477,202171.765625,3,1,1,0,0
2026_02_19_08_29,25,0,1724206365,11380,1771489801,26.06963,996.125305,42.806816,275416.90625,3,1,1,0,0
2026_02_19_08_29,26,1,1724192798,11385,1771489801,26.412994,996.317566,42.277523,195905.875,3,1,1,0,0
2026_02_19_08_29,27,2,1724204062,11389,1771489801,26.486374,996.307739,41.764637,222029.484375,3,1,1,0,0
2026_02_19_08_29,28,3,1724221471,11393,1771489801,26.554844,996.138977,41.371586,200273.8125,3,1,1,0,0
2026_02_19_08_29,29,4,1724209694,11398,1771489801,26.662634,996.103088,40.169079,274310.21875,3,1,1,0,0
2026_02_19_08_29,30,5,1724219422,11402,1771489801,26.676138,995.962891,40.284279,149401.8125,3,1,1,0,0
2026_02_19_08_29,31,7,1724199965,11411,1771489801,26.602392,996.385071,40.536922,198180.765625,3,1,1,0,0
2026_02_19_08_29,32,6,1724206621,11966,1771489801,27.260248,996.499268,40.108269,30754.445312,4,1,1,0,0
2026_02_19_08_29,33,0,1724206365,12080,1771489801,26.633194,996.103027,42.560623,44244.730469,4,1,1,0,0
2026_02_19_08_29,34,1,1724192798,12085,1771489801,27.00909,996.311829,42.357422,30688.083984,4,1,1,0,0
