,id_timestamp,id_index,sensor_index,sensor_id,timestamp_since_poweron,real_time_clock,temperature,pressure,relative_humidity,resistance_gassensor,heater_profile_step_index,scanning_enabled,scanning_cycle_index,label_tag,error_code
44,2026_02_19_18_16,44,2,1724204062,13663,1771525018,25.798443,1000.078491,35.210548,45714.285156,5,1,1,0,0
45,2026_02_19_18_16,45,4,1724209694,13672,1771525018,26.07609,999.890137,34.139549,55077.453125,5,1,1,0,0
46,2026_02_19_18_16,46,5,1724219422,13676,1771525018,26.057407,999.737976,34.179298,35222.894531,5,1,1,0,0
47,2026_02_19_18_16,47,7,1724199965,13685,1771525018,25.952417,1000.129028,33.823013,52212.929688,5,1,1,0,0
48,2026_02_19_18_16,48,3,1724221471,14227,1771525018,26.038143,999.925354,34.409309,51581.703125,6,1,1,0,0
49,2026_02_19_18_16,49,6,1724206621,14240,1771525018,26.303699,1000.329285,33.475548,46613.253906,6,1,1,0,0
50,2026_02_19_18_16,50,0,1724206365,14354,1771525018,25.433756,999.84082,35.47406,67279.898438,6,1,1,0,0
51,2026_02_19_18_16,51,1,1724192798,14359,1771525018,25.903833,1000.145691,34.971104,55363.320312,6,1,1,0,0
52,2026_02_19_18_16,52,2,1724204062,14363,1771525018,25.987873,1000.061096,34.791706,45763.316406,6,1,1,0,0
53,2026_02_19_18_16,53,4,1724209694,14372,1771525018,26.275763,999.915466,33.716324,55006.445312,6,1,1,0,0
54,2026_02_19_18_16,54,5,1724219422,14376,1771525018,26.248739,999.735657,34.112556,35486.554688,6,1,1,0,0
55,2026_02_19_18_16,55,7,1724199965,14385,1771525018,26.141361,1000.124207,33.471958,52729.144531,6,1,1,0,0
56,2026_02_19_18_16,56,3,1724221471,14927,1771525018,26.345165,999.906921,33.996082,35078.105469,7,1,1,0,0
57,2026_02_19_18_16,57,6,1724206621,14940,1771525018,26.607365,1000.32489,33.129009,30274.361328,7,1,1,0,0
58,2026_02_19_18_16,58,0,1724206365,15054,1771525018,25.730495,999.875549,35.131126,37383.175781,7,1,1,0,0
59,2026_02_19_18_16,59,1,1724192798,15059,1771525018,26.206844,1000.102722,34.551064,31527.09375,7,1,1,0,0
60,2026_02_19_18_16,60,2,1724204062,15063,1771525018,26.289465,1000.066223,34.395851,37383.175781,7,1,1,0,0
61,2026_02_19_18_16,61,4,1724209694,15072,1771525018,26.600235,999.889832,33.339607,32388.664062,7,1,1,0,0
62,2026_02_19_18_16,62,5,1724219422,15076,1771525018,26.541956,999.728027,33.478718,27935.398438,7,1,1,0,0
63,2026_02_19_18_16,63,7,1724199965,15085,1771525018,26.443676,1000.163391,33.086117,31045.355469,7,1,1,0,0
64,2026_02_19_18_16,64,3,1724221471,15627,1771525018,26.747044,999.946716,33.58691,54271.78125,8,1,1,0,0
65,2026_02_19_18_16,65,6,1724206621,15640,1771525018,26.999599,1000.360657,32.802517,45229.683594,8,1,1,0,0
66,2026_02_19_18_16,66,0,1724206365,15754,1771525018,26.079605,999.890076,34.562073,56612.117188,8,1,1,0,0
67,2026_02_19_18_16,67,1,1724192798,15759,1771525018,26.601757,1000.115601,34.117924,46511.628906,8,1,1,0,0
68,2026_02_19_18_16,68,2,1724204062,15763,1771525018,26.693249,1000.076172,34.027386,56313.242188,8,1,1,0,0
69,2026_02_19_18_16,69,4,1724209694,15772,1771525018,27.002081,999.901917,32.981983,46059.734375,8,1,1,0,0
70,2026_02_19_18_16,70,5,1724219422,15776,1771525018,26.932083,999.75592,33.069855,40125.390625,8,1,1,0,0
71,2026_02_19_18_16,71,7,1724199965,15785,1771525018,26.834167,1000.160767,32.772179,46209.386719,8,1,1,0,0
72,2026_02_19_18_16,72,6,1724206621,16200,1771525018,27.214697,1000.365295,32.307392,57028.292969,9,1,1,0,0
73,2026_02_19_18_16,73,1,1724192798,16318,1771525018,26.800457,1000.139893,33.672592,57566.898438,9,1,1,0,0
74,2026_02_19_18_16,74,3,1724221471,16327,1771525018,26.976688,999.97699,33.134033,66910.609375,9,1,1,0,0
75,2026_02_19_18_16,75,0,1724206365,16454,1771525018,26.256653,999.900146,34.278366,69697.796875,9,1,1,0,0
76,2026_02_19_18_16,76,2,1724204062,16463,1771525018,26.902622,1000.089111,33.595886,67439.40625,9,1,1,0,0
77,2026_02_19_18_16,77,4,1724209694,16472,1771525018,27.221725,999.926147,32.529152,56128.042969,9,1,1,0,0
78,2026_02_19_18_16,78,5,1724219422,16476,1771525018,27.148266,999.756714,32.684875,49316.125,9,1,1,0,0
79,2026_02_19_18_16,79,7,1724199965,16485,1771525018,27.038233,1000.188782,32.218243,57142.855469,9,1,1,0,0
80,2026_02_19_18_16,80,6,1724206621,16900,1771525018,27.381714,1000.408936,31.848654,65272.820312,0,1,2,0,0
81,2026_02_19_18_16,81,1,1724192798,17018,1771525018,26.961903,1000.17157,33.281204,64630.144531,0,1,2,0,0
82,2026_02_19_18_16,82,3,1724221471,17027,1771525018,27.131449,999.968201,32.725903,75360.609375,0,1,2,0,0
83,2026_02_19_18_16,83,4,1724209694,17032,1771525018,27.386459,999.937317,32.072361,62045.566406,0,1,2,0,0
84,2026_02_19_18_16,84,0,1724206365,17154,1771525018,26.403778,999.922424,33.96336,79355.242188,0,1,2,0,0
85,2026_02_19_18_16,85,2,1724204062,17163,1771525018,27.067127,1000.11615,33.256725,74052.648438,0,1,2,0,0
86,2026_02_19_18_16,86,5,1724219422,17176,1771525018,27.294876,999.751648,32.305447,54900.277344,0,1,2,0,0
87,2026_02_19_18_16,87,6,1724206621,17180,1771525018,26.981884,1000.41803,31.615519,4670467.5,1,1,2,0,0
88,2026_02_19_18_16,88,7,1724199965,17185,1771525018,27.204504,1000.196228,31.976301,64728.191406,0,1,2,0,0
89,2026_02_19_18_16,89,0,1724206365,17294,1771525018,25.994822,999.943909,33.803589,5140885.0,1,1,2,0,0
90,2026_02_19_18_16,90,1,1724192798,17299,1771525018,26.527246,1000.178467,33.099659,5121600.5,1,1,2,0,0
