feature,mean,std
temperature,28.156736190694474,2.5657194674242216
pressure,1064.2926908090765,38.92908435039839
humidity,43.55293528917411,7.332595421375923
gas_resistance,3191337.8678279473,1978268.0513065918
gas_resistance_diff,-305737.8201543281,323751.2322010093
